,similarity_treshold,social_influence,swingers,no_of_neighbors,echo_limit,opinions,Run,Silent_Spiral,community_no,echo_chamber,echo_count,echo_size,majority_percentage,radical_opinions,transitivity,network_type
1070,0.0522753906,0.0862011719,2.07421875,3.70703125,0.8045410156,2.0146484375,1070,0.52,12,92,0.0214252445,"{'3': 90, '4': 2}",0.557,0.074,0.024204009800000002,2
1071,0.0816308594,0.0684472656,4.00390625,3.27734375,0.8502441406,2.0146484375,1071,0.38,12,131,0.0309692671,"{'3': 130, '4': 1}",0.718,0.016,0.0205603144,2
1072,0.0410253906,0.0524511719,1.57421875,3.20703125,0.8232910156000001,4.3466796875,1072,0.16,10,78,0.0184310019,{'3': 78},0.494,0.0,0.0172590074,2
1073,0.0478808594,0.0524511719,1.57421875,3.20703125,0.8232910156000001,4.3466796875,1073,0.24,10,59,0.014004272500000001,"{'3': 58, '4': 1}",0.373,0.0,0.0159009585,2
1074,0.0410253906,0.0121972656,1.57421875,3.20703125,0.8232910156000001,4.3466796875,1074,0.68,15,188,0.044141817300000004,{'3': 188},0.971,0.0,0.0326700128,2
1075,0.0410253906,0.0524511719,2.50390625,3.20703125,0.8232910156000001,4.3466796875,1075,0.30000000000000004,11,45,0.0106257379,{'3': 45},0.557,0.001,0.0118738782,2
1076,0.0410253906,0.0524511719,1.57421875,4.77734375,0.8232910156000001,4.3466796875,1076,0.38,8,111,0.0199138859,"{'3': 110, '4': 1}",0.5,0.001,0.0150682078,2
1077,0.0410253906,0.0524511719,1.57421875,3.20703125,0.9439941406000001,4.3466796875,1077,0.26,14,58,0.013776722100000001,{'3': 58},0.736,0.0,0.019101934600000002,2
1078,0.0410253906,0.0524511719,1.57421875,3.20703125,0.8232910156000001,2.3896484375,1078,0.48,10,111,0.0262784091,{'3': 111},0.583,0.0,0.0221741224,2
1079,0.0478808594,0.0121972656,2.50390625,4.77734375,0.9439941406000001,2.3896484375,1079,0.58,13,115,0.0206130131,"{'3': 112, '4': 3}",0.8220000000000001,0.001,0.0249071482,2
108,0.0522753906,0.0862011719,2.07421875,3.27734375,0.8045410156,3.9716796875,108,0.34,12,67,0.0155477032,{'3': 66},0.636,0.019,0.0192143728,2
1080,0.0297753906,0.0187011719,3.07421875,4.70703125,0.8420410156,4.7216796875,1080,0.2,15,141,0.0253460363,"{'3': 139, '4': 2}",0.858,0.001,0.019806283100000002,2
1081,0.014130859400000001,0.0187011719,3.07421875,4.70703125,0.8420410156,4.7216796875,1081,0.0,15,685,0.1207048458,"{'3': 642, '4': 42, '5': 1}",1.0,0.401,0.0413714565,2
1082,0.0297753906,0.09094726560000001,3.07421875,4.70703125,0.8420410156,4.7216796875,1082,0.30000000000000004,5,94,0.0172603746,"{'3': 93, '4': 1}",0.281,0.0,0.0128430151,2
1083,0.0297753906,0.0187011719,3.00390625,4.70703125,0.8420410156,4.7216796875,1083,0.0,15,468,0.084921067,"{'3': 449, '4': 19}",0.995,0.001,0.032542414,2
1084,0.0297753906,0.0187011719,3.07421875,2.27734375,0.8420410156,4.7216796875,1084,0.0,19,35,0.0113562622,{'3': 35},0.529,0.003,0.0223511485,2
1085,0.0297753906,0.0187011719,3.07421875,4.70703125,0.8127441406,4.7216796875,1085,0.0,17,453,0.08112464180000001,"{'3': 440, '4': 13}",0.993,0.001,0.031702707000000004,2
1086,0.0297753906,0.0187011719,3.07421875,4.70703125,0.8420410156,2.7646484375,1086,0.52,9,202,0.0367205963,"{'3': 200, '4': 2}",0.6920000000000001,0.0,0.0225392164,2
1087,0.014130859400000001,0.09094726560000001,3.00390625,2.27734375,0.8127441406,2.7646484375,1087,0.48,21,68,0.0220135966,{'3': 68},0.842,0.155,0.0274670586,2
1088,0.0747753906,0.0637011719,1.07421875,2.70703125,0.9170410156000001,3.2216796875,1088,0.30000000000000004,18,19,0.0062193126000000005,{'3': 19},0.45,0.0,0.0186852637,2
1089,0.0591308594,0.0637011719,1.07421875,2.70703125,0.9170410156000001,3.2216796875,1089,0.1,19,45,0.014638907000000001,{'3': 45},0.579,0.001,0.022830739200000002,2
