	no_of_neighbors	similarity_treshold	social_influence	swingers	beta_component	Run	Echo_Chambers	Silent_Spiral	opinions	radical_opinions	network_type
69	2.8466796875	0.921689453125	0.529169921875	4.20703125	0.27490234375	69	9	0.3333333333333333	0.5233333333333333	0.01	1
70	2.8466796875	0.921689453125	0.529169921875	4.50390625	0.68974609375	70	3	0.3333333333333333	0.57	0.01	1
71	2.8466796875	0.921689453125	0.529169921875	4.50390625	0.27490234375	71	2	0.13333333333333333	0.48	0.03666666666666667	1
72	2.6591796875	0.105712890625	0.523369140625	3.70703125	0.35224609375000004	72	7	0.3333333333333333	0.45666666666666667	0.01	1
73	4.7216796875	0.105712890625	0.523369140625	3.70703125	0.35224609375000004	73	1	0.3	0.5966666666666667	0.02666666666666667	1
74	2.6591796875	0.055439453125	0.523369140625	3.70703125	0.35224609375000004	74	8	0.36666666666666664	0.4866666666666667	0.06	1
75	2.6591796875	0.105712890625	0.900419921875	3.70703125	0.35224609375000004	75	6	0.3	0.58	0.17	1
76	2.6591796875	0.105712890625	0.523369140625	3.00390625	0.35224609375000004	76	9	0.23333333333333334	0.5666666666666667	0.02666666666666667	1
77	2.6591796875	0.105712890625	0.523369140625	3.70703125	0.16240234375	77	6	0.3333333333333333	0.4266666666666667	0.04	1
78	2.6591796875	0.055439453125	0.900419921875	3.00390625	0.16240234375	78	7	0.16666666666666666	0.52	0.16	1
79	4.7216796875	0.105712890625	0.900419921875	3.00390625	0.16240234375	79	6	0.16666666666666666	0.33666666666666667	0.33	1
80	4.7216796875	0.055439453125	0.523369140625	3.00390625	0.16240234375	80	1	0.3	0.5133333333333333	0.26	1
81	4.7216796875	0.055439453125	0.900419921875	3.70703125	0.16240234375	81	9	0.23333333333333334	0.27	0.39	1
82	4.7216796875	0.055439453125	0.900419921875	3.00390625	0.35224609375000004	82	10	0.26666666666666666	0.74	0.36666666666666664	1
83	4.7216796875	0.055439453125	0.900419921875	3.00390625	0.16240234375	83	11	0.26666666666666666	0.79	0.37	1
84	4.1591796875	0.600712890625	0.028369140624999997	1.70703125	0.80224609375	84	3	0.16666666666666666	0.48333333333333334	0.0033333333333333335	1
85	3.2216796875	0.600712890625	0.028369140624999997	1.70703125	0.80224609375	85	2	0.23333333333333334	0.5933333333333334	0.016666666666666666	1
86	4.1591796875	0.550439453125	0.028369140624999997	1.70703125	0.80224609375	86	2	0.2	0.6	0.0	1
87	4.1591796875	0.600712890625	0.405419921875	1.70703125	0.80224609375	87	1	0.23333333333333334	0.49333333333333335	0.0	1
88	4.1591796875	0.600712890625	0.028369140624999997	1.00390625	0.80224609375	88	0	0.3	0.4666666666666667	0.0	1
89	4.1591796875	0.600712890625	0.028369140624999997	1.70703125	0.61240234375	89	5	0.2	0.5366666666666666	0.0033333333333333335	1
90	4.1591796875	0.550439453125	0.405419921875	1.00390625	0.61240234375	90	2	0.2	0.5766666666666667	0.023333333333333334	1
91	3.2216796875	0.600712890625	0.405419921875	1.00390625	0.61240234375	91	5	0.26666666666666666	0.43666666666666665	0.023333333333333334	1
92	3.2216796875	0.550439453125	0.028369140624999997	1.00390625	0.61240234375	92	8	0.26666666666666666	0.5666666666666667	0.01	1
93	3.2216796875	0.550439453125	0.405419921875	1.70703125	0.61240234375	93	3	0.16666666666666666	0.53	0.006666666666666667	1
94	3.2216796875	0.550439453125	0.405419921875	1.00390625	0.80224609375	94	6	0.3333333333333333	0.5966666666666667	0.006666666666666667	1
95	3.2216796875	0.550439453125	0.405419921875	1.00390625	0.61240234375	95	9	0.4	0.56	0.0	1
96	4.9091796875	0.353212890625	0.770869140625	4.70703125	0.57724609375	96	2	0.3	0.39666666666666667	0.39	1
97	2.4716796875	0.353212890625	0.770869140625	4.70703125	0.57724609375	97	7	0.16666666666666666	0.42333333333333334	0.07333333333333333	1
98	4.9091796875	0.302939453125	0.770869140625	4.70703125	0.57724609375	98	0	0.3	0.42	0.31333333333333335	1
99	4.9091796875	0.353212890625	0.157919921875	4.70703125	0.57724609375	99	1	0.26666666666666666	0.44333333333333336	0.0	1
100	4.9091796875	0.353212890625	0.770869140625	2.00390625	0.57724609375	100	2	0.16666666666666666	0.56	0.38333333333333336	1
101	4.9091796875	0.353212890625	0.770869140625	4.70703125	0.83740234375	101	6	0.16666666666666666	0.7	0.2733333333333333	1
102	4.9091796875	0.302939453125	0.157919921875	2.00390625	0.83740234375	102	1	0.2	0.45666666666666667	0.0	1
103	2.4716796875	0.353212890625	0.157919921875	2.00390625	0.83740234375	103	5	0.4	0.42	0.0	1
104	2.4716796875	0.302939453125	0.770869140625	2.00390625	0.83740234375	104	5	0.2	0.45666666666666667	0.09666666666666666	1
105	2.4716796875	0.302939453125	0.157919921875	4.70703125	0.83740234375	105	3	0.2	0.52	0.0	1
106	2.4716796875	0.302939453125	0.157919921875	2.00390625	0.57724609375	106	4	0.06666666666666667	0.5266666666666666	0.0	1
107	2.4716796875	0.302939453125	0.157919921875	2.00390625	0.83740234375	107	8	0.2	0.55	0.013333333333333334	1
108	3.4091796875	0.848212890625	0.275869140625	2.70703125	0.12724609375	108	6	0.3333333333333333	0.45666666666666667	0.006666666666666667	1
109	3.9716796875	0.848212890625	0.275869140625	2.70703125	0.12724609375	109	9	0.26666666666666666	0.5033333333333333	0.0	1
110	3.4091796875	0.797939453125	0.275869140625	2.70703125	0.12724609375	110	6	0.13333333333333333	0.49333333333333335	0.006666666666666667	1
